x,y,z,Bx,By,Bz,Bmag
-0.0900000036,-0.0150000006,0.0149999931,0.0490566641,-7.29886324e-07,4.87893976e-06,0.0490566644
-0.0900000036,-0.0150000006,0.0199999958,0.0490555838,-5.24721258e-07,3.98511838e-06,0.0490555839
-0.0900000036,-0.0150000006,0.0249999985,0.0490538627,-4.49090749e-07,3.04892683e-06,0.0490538628
-0.0900000036,-0.0150000006,0.0299999937,0.0490525961,-1.10695373e-06,9.88488864e-07,0.0490525961
-0.0900000036,-0.0150000006,0.034999989,0.0490518622,-1.18672585e-06,5.34118954e-07,0.0490518622
-0.0900000036,-0.0150000006,0.0399999991,0.04905238,-1.30224601e-06,-2.90220078e-06,0.0490523801
-0.0900000036,-0.0100000054,-0.0400000028,0.0490518883,-8.14191708e-07,1.39766871e-06,0.0490518883
-0.0900000036,-0.0100000054,-0.0350000039,0.0490515977,-6.41706094e-07,1.18113212e-06,0.0490515977
-0.0900000036,-0.0100000054,-0.0300000012,0.0490528196,-3.21119046e-07,-1.92592051e-06,0.0490528196
-0.0900000036,-0.0100000054,-0.025000006,0.0490536578,-8.20384741e-07,-2.81755501e-06,0.0490536579
-0.0900000036,-0.0100000054,-0.0200000033,0.0490554683,-1.07850497e-07,-3.94103881e-06,0.0490554684
-0.0900000036,-0.0100000054,-0.0150000006,0.0490573347,8.73427837e-07,-3.76718708e-06,0.0490573348
-0.0900000036,-0.0100000054,-0.0100000054,0.0490588844,2.91115214e-07,-1.46387538e-06,0.0490588844
-0.0900000036,-0.0100000054,-0.00500000268,0.0490601398,6.23388871e-07,-2.23140842e-06,0.0490601399
-0.0900000036,-0.0100000054,-7.4505806e-09,0.049061317,1.84142721e-07,8.1006101e-07,0.049061317
-0.0900000036,-0.0100000054,0.00499999523,0.049060531,8.91101877e-08,1.95006578e-06,0.049060531
-0.0900000036,-0.0100000054,0.00999999791,0.0490590036,2.97697397e-07,1.93836149e-06,0.0490590036
-0.0900000036,-0.0100000054,0.0149999931,0.0490574539,9.19957984e-07,3.95472534e-06,0.049057454
-0.0900000036,-0.0100000054,0.0199999958,0.0490556806,-1.29181217e-08,3.9917486e-06,0.0490556808
-0.0900000036,-0.0100000054,0.0249999985,0.0490536988,-1.17608238e-06,2.66398365e-06,0.0490536989
-0.0900000036,-0.0100000054,0.0299999937,0.0490523204,-5.53931955e-07,1.74524985e-06,0.0490523205
-0.0900000036,-0.0100000054,0.034999989,0.0490519777,-1.25806309e-06,-1.42609952e-06,0.0490519777
-0.0900000036,-0.0100000054,0.0399999991,0.0490515195,-9.44236035e-07,-1.37323013e-06,0.0490515195
-0.0900000036,-0.00500000268,-0.0400000028,0.0490512326,-9.22877916e-07,7.24993242e-07,0.0490512327
-0.0900000036,-0.00500000268,-0.0350000039,0.0490522496,-2.61000025e-07,-7.47326339e-07,0.0490522496
-0.0900000036,-0.00500000268,-0.0300000012,0.049053032,5.15099657e-07,-1.16530009e-06,0.049053032
-0.0900000036,-0.00500000268,-0.025000006,0.0490536615,9.98329597e-09,-2.87149669e-06,0.0490536616
-0.0900000036,-0.00500000268,-0.0200000033,0.0490555093,-1.64707899e-07,-3.15097577e-06,0.0490555094
-0.0900000036,-0.00500000268,-0.0150000006,0.0490568206,9.48346042e-08,-3.80581878e-06,0.0490568207
-0.0900000036,-0.00500000268,-0.0100000054,0.0490588471,2.31415754e-07,-2.60093884e-06,0.0490588472
-0.0900000036,-0.00500000268,-0.00500000268,0.0490606874,-9.16687497e-07,-1.22095253e-06,0.0490606874
-0.0900000036,-0.00500000268,-7.4505806e-09,0.0490603819,9.05548632e-08,4.21069672e-07,0.049060382
-0.0900000036,-0.00500000268,0.00499999523,0.0490609519,-3.4342861e-08,1.25525958e-06,0.0490609519
-0.0900000036,-0.00500000268,0.00999999791,0.0490591079,2.27604232e-07,2.94753227e-06,0.049059108
-0.0900000036,-0.00500000268,0.0149999931,0.0490569882,-5.96212203e-07,4.48365063e-06,0.0490569884
-0.0900000036,-0.00500000268,0.0199999958,0.0490552559,-2.48712126e-08,3.34075321e-06,0.0490552561
-0.0900000036,-0.00500000268,0.0249999985,0.0490539409,-1.21992571e-07,3.38069822e-06,0.049053941
-0.0900000036,-0.00500000268,0.0299999937,0.0490525998,-1.44492333e-07,1.25577708e-06,0.0490525998
-0.0900000036,-0.00500000268,0.034999989,0.0490522981,-3.5377991e-07,1.10687324e-07,0.0490522981
-0.0900000036,-0.00500000268,0.0399999991,0.0490520485,-5.08086828e-07,-7.11524535e-07,0.0490520485
-0.0900000036,-7.4505806e-09,-0.0400000028,0.0490510315,1.34306845e-07,1.8196979e-06,0.0490510315
-0.0900000036,-7.4505806e-09,-0.0350000039,0.0490523092,-5.99645261e-07,7.68297923e-07,0.0490523093
-0.0900000036,-7.4505806e-09,-0.0300000012,0.0490523465,-7.1912325e-07,-1.98831458e-07,0.0490523465
-0.0900000036,-7.4505806e-09,-0.025000006,0.0490539223,-1.62197011e-08,-1.05672143e-06,0.0490539223
-0.0900000036,-7.4505806e-09,-0.0200000033,0.0490552485,-6.96269353e-08,-3.76193884e-06,0.0490552486
-0.0900000036,-7.4505806e-09,-0.0150000006,0.0490568653,-3.49636537e-07,-3.51452309e-06,0.0490568654
-0.0900000036,-7.4505806e-09,-0.0100000054,0.049059283,-4.29808438e-07,-3.4781533e-06,0.0490592831
-0.0900000036,-7.4505806e-09,-0.00500000268,0.0490596853,-3.14238321e-07,-2.61581181e-06,0.0490596854
-0.0900000036,-7.4505806e-09,-7.4505806e-09,0.0490619056,-2.37820302e-07,-1.0150211e-06,0.0490619056
-0.0900000036,-7.4505806e-09,0.00499999523,0.0490597151,3.07770563e-07,2.72287889e-06,0.0490597152
-0.0900000036,-7.4505806e-09,0.00999999791,0.0490591452,-3.48435776e-07,3.15506986e-06,0.0490591453
